Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_28M3B3ME	UNPAIRED	818502700	818502700	1	0	818502700	1	119952222545	736517216	108481376915	106867630635	0	0.005161	0.004227	0.000263	150	0	0	0	0	0	0.499664	0.004901	0	BS_28M3B3ME		
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_28M3B3ME	UNPAIRED	818502700	818502700	1	0	818502700	1	119952222545	736517216	108481376915	106867630635	0	0.005161	0.004227	0.000263	150	0	0	0	0	0	0.499664	0.004901	0	BS_28M3B3ME	TCCGHmM230AAAAAPEI-6	
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_1Y2ZF50H	UNPAIRED	809130375	809130375	1	0	809130375	1	118173966301	730630269	107217115473	105148614557	0	0.005747	0.004886	0.000263	150	0	0	0	0	0	0.499573	0.004963	0	BS_1Y2ZF50H		
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_1Y2ZF50H	UNPAIRED	809130375	809130375	1	0	809130375	1	118173966301	730630269	107217115473	105148614557	0	0.005747	0.004886	0.000263	150	0	0	0	0	0	0.499573	0.004963	0	BS_1Y2ZF50H	TCCGHmM230AAAAAPEI-3	
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_RJYJSCFP	UNPAIRED	848335657	848335657	1	0	848335657	1	124697521319	764265878	112891281126	111310808059	0	0.004903	0.00398	0.000263	150	0	0	0	0	0	0.499671	0.004497	0	BS_RJYJSCFP		
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_RJYJSCFP	UNPAIRED	848335657	848335657	1	0	848335657	1	124697521319	764265878	112891281126	111310808059	0	0.004903	0.00398	0.000263	150	0	0	0	0	0	0.499671	0.004497	0	BS_RJYJSCFP	TCCGHmM230AAAAAPEI-7	
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_TG78Q6BM	UNPAIRED	1141377056	1141377056	1	0	1141377056	1	165009629785	1025272296	148982669539	147031183487	0	0.005008	0.004071	0.000274	150	0	0	0	0	0	0.499562	0.005275	0	BS_TG78Q6BM		
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_TG78Q6BM	UNPAIRED	1141377056	1141377056	1	0	1141377056	1	165009629785	1025272296	148982669539	147031183487	0	0.005008	0.004071	0.000274	150	0	0	0	0	0	0.499562	0.005275	0	BS_TG78Q6BM	TCCGHmM230AAAAAPEI-4	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_F0WR427W	UNPAIRED	373124072	373124072	1	0	373124072	1	55403486379	340753573	50892614569	50084876185	0	0.004941	0.004127	0.00024	150	0	0	0	0	0	0.499736	0.004085	0	BS_F0WR427W		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_F0WR427W	UNPAIRED	373124072	373124072	1	0	373124072	1	55403486379	340753573	50892614569	50084876185	0	0.004941	0.004127	0.00024	150	0	0	0	0	0	0.499736	0.004085	0	BS_F0WR427W	DNA478852	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_8DTDM1MK	UNPAIRED	1212721970	1212721970	1	0	1212721970	1	120096258998	1074208380	106869475832	105702430457	0	0.003885	0.003061	0.000226	100	0	0	0	0	0	0.500051	0.003541	0	BS_8DTDM1MK		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_8DTDM1MK	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_8DTDM1MK		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_8DTDM1MK	UNPAIRED	1212721970	1212721970	1	0	1212721970	1	120096258998	1074208380	106869475832	105702430457	0	0.003885	0.003061	0.000226	100	0	0	0	0	0	0.500051	0.003541	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_APFT88Y3	UNPAIRED	1257926389	1257926389	1	0	1257926389	1	124540743200	1113238134	110712731329	109166700485	0	0.004913	0.004074	0.000227	100	0	0	0	0	0	0.50019	0.003822	0	BS_APFT88Y3		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_APFT88Y3	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_APFT88Y3		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_APFT88Y3	UNPAIRED	1257926389	1257926389	1	0	1257926389	1	124540743200	1113238134	110712731329	109166700485	0	0.004913	0.004074	0.000227	100	0	0	0	0	0	0.50019	0.003822	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_SAFSHSAC	UNPAIRED	350085125	350085125	1	0	350085125	1	51731005536	317537070	47222331975	45710681304	0	0.006219	0.005433	0.000206	150	0	0	0	0	0	0.500374	0.006451	0	BS_SAFSHSAC		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_SAFSHSAC	UNPAIRED	350085125	350085125	1	0	350085125	1	51731005536	317537070	47222331975	45710681304	0	0.006219	0.005433	0.000206	150	0	0	0	0	0	0.500374	0.006451	0	BS_SAFSHSAC	SIDRALIB7316-99B	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_YZ3MRCXX	UNPAIRED	403427172	403427172	1	0	403427172	1	59868286774	367220894	54844973185	54016080850	0	0.004716	0.003872	0.000239	150	0	0	0	0	0	0.499668	0.004229	0	BS_YZ3MRCXX		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_YZ3MRCXX	UNPAIRED	403427172	403427172	1	0	403427172	1	59868286774	367220894	54844973185	54016080850	0	0.004716	0.003872	0.000239	150	0	0	0	0	0	0.499668	0.004229	0	BS_YZ3MRCXX	7316-219-DNA394877	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_00ZND930	UNPAIRED	427275110	427275110	1	0	427275110	1	63526087098	390251492	58299580347	57807942135	0	0.003531	0.002819	0.000232	150	0	0	0	0	0	0.499596	0.003969	0	BS_00ZND930		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_00ZND930	UNPAIRED	427275110	427275110	1	0	427275110	1	63526087098	390251492	58299580347	57807942135	0	0.003531	0.002819	0.000232	150	0	0	0	0	0	0.499596	0.003969	0	BS_00ZND930	DNA478834	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZJ3VP0AP	UNPAIRED	471859424	471859424	1	0	471859424	1	70127390211	433536531	64764904326	64137774955	0	0.003662	0.002946	0.000228	150	0	0	0	0	0	0.499702	0.003915	0	BS_ZJ3VP0AP		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZJ3VP0AP	UNPAIRED	471859424	471859424	1	0	471859424	1	70127390211	433536531	64764904326	64137774955	0	0.003662	0.002946	0.000228	150	0	0	0	0	0	0.499702	0.003915	0	BS_ZJ3VP0AP	DNA478830	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ECMB9SWH	UNPAIRED	446263493	446263493	1	0	446263493	1	66296380327	408143157	60965734780	60329213912	0	0.004099	0.003326	0.000253	150	0	0	0	0	0	0.499715	0.003992	0	BS_ECMB9SWH		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ECMB9SWH	UNPAIRED	446263493	446263493	1	0	446263493	1	66296380327	408143157	60965734780	60329213912	0	0.004099	0.003326	0.000253	150	0	0	0	0	0	0.499715	0.003992	0	BS_ECMB9SWH	DNA478840	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZDSXV5N1	UNPAIRED	618266471	618266471	1	0	618266471	1	61428818267	550750097	54927913063	54457985435	0	0.003627	0.002819	0.00025	100	0	0	0	0	0	0.500128	0.003366	0	BS_ZDSXV5N1		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZDSXV5N1	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_ZDSXV5N1		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZDSXV5N1	UNPAIRED	618266471	618266471	1	0	618266471	1	61428818267	550750097	54927913063	54457985435	0	0.003627	0.002819	0.00025	100	0	0	0	0	0	0.500128	0.003366	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_GBQ6A3ST	UNPAIRED	380369810	380369810	1	0	380369810	1	56453894522	344198824	51407712872	50528626239	0	0.005578	0.004639	0.000244	150	0	0	0	0	0	0.499684	0.004457	0	BS_GBQ6A3ST		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_GBQ6A3ST	UNPAIRED	380369810	380369810	1	0	380369810	1	56453894522	344198824	51407712872	50528626239	0	0.005578	0.004639	0.000244	150	0	0	0	0	0	0.499684	0.004457	0	BS_GBQ6A3ST	DNA478847	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_B2AFNXS1	UNPAIRED	392504551	392504551	1	0	392504551	1	58310118591	355346257	53082172800	52343184384	0	0.00476	0.003867	0.000239	150	0	0	0	0	0	0.499603	0.004419	0	BS_B2AFNXS1		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_B2AFNXS1	UNPAIRED	392504551	392504551	1	0	392504551	1	58310118591	355346257	53082172800	52343184384	0	0.00476	0.003867	0.000239	150	0	0	0	0	0	0.499603	0.004419	0	BS_B2AFNXS1	DNA478849	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_G113MX63	UNPAIRED	387264756	387264756	1	0	387264756	1	57526304644	350645233	52376796843	51650779979	0	0.005219	0.004311	0.00026	150	0	0	0	0	0	0.499663	0.004054	0	BS_G113MX63		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_G113MX63	UNPAIRED	387264756	387264756	1	0	387264756	1	57526304644	350645233	52376796843	51650779979	0	0.005219	0.004311	0.00026	150	0	0	0	0	0	0.499663	0.004054	0	BS_G113MX63	DNA478842	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_FHDR7FJE	UNPAIRED	338889853	338889853	1	0	338889853	1	50062707713	304338827	45273242614	44062345019	0	0.006186	0.005173	0.000227	150	0	0	0	0	0	0.500382	0.007507	0	BS_FHDR7FJE		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_FHDR7FJE	UNPAIRED	338889853	338889853	1	0	338889853	1	50062707713	304338827	45273242614	44062345019	0	0.006186	0.005173	0.000227	150	0	0	0	0	0	0.500382	0.007507	0	BS_FHDR7FJE	TCCRHmM198AGAAAPEI-7	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_W9MBVTYX	UNPAIRED	1307989401	1307989401	1	0	1307989401	1	129648601166	1167766043	116226601568	114971614175	0	0.004234	0.003528	0.000289	100	0	0	0	0	0	0.500139	0.003189	0	BS_W9MBVTYX		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_W9MBVTYX	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_W9MBVTYX		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_W9MBVTYX	UNPAIRED	1307989401	1307989401	1	0	1307989401	1	129648601166	1167766043	116226601568	114971614175	0	0.004234	0.003528	0.000289	100	0	0	0	0	0	0.500139	0.003189	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_D25PJCXY	UNPAIRED	402849459	402849459	1	0	402849459	1	59550709457	364240184	54183622654	52678307108	0	0.006045	0.005063	0.000212	150	0	0	0	0	0	0.500191	0.00627	0	BS_D25PJCXY		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_D25PJCXY	UNPAIRED	402849459	402849459	1	0	402849459	1	59550709457	364240184	54183622654	52678307108	0	0.006045	0.005063	0.000212	150	0	0	0	0	0	0.500191	0.00627	0	BS_D25PJCXY	SIDRALIB7316-931B	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_EQCAS6HV	UNPAIRED	395685756	395685756	1	0	395685756	1	58452578234	358078433	53224714714	51265015024	0	0.006388	0.005555	0.000221	150	0	0	0	0	0	0.500424	0.006683	0	BS_EQCAS6HV		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_EQCAS6HV	UNPAIRED	395685756	395685756	1	0	395685756	1	58452578234	358078433	53224714714	51265015024	0	0.006388	0.005555	0.000221	150	0	0	0	0	0	0.500424	0.006683	0	BS_EQCAS6HV	TCCRHmM198AKAAAPEI-11	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_4KXBM5J8	UNPAIRED	646132803	646132803	1	0	646132803	1	64162414957	572950987	57126052445	56619129567	0	0.00378	0.002905	0.000224	100	0	0	0	0	0	0.50009	0.003447	0	BS_4KXBM5J8		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_4KXBM5J8	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_4KXBM5J8		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_4KXBM5J8	UNPAIRED	646132803	646132803	1	0	646132803	1	64162414957	572950987	57126052445	56619129567	0	0.00378	0.002905	0.000224	100	0	0	0	0	0	0.50009	0.003447	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_WCQW99V3	UNPAIRED	620430876	620430876	1	0	620430876	1	61617091938	549288527	54772790640	54312419968	0	0.003373	0.002539	0.000233	100	0	0	0	0	0	0.500072	0.003007	0	BS_WCQW99V3		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_WCQW99V3	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_WCQW99V3		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_WCQW99V3	UNPAIRED	620430876	620430876	1	0	620430876	1	61617091938	549288527	54772790640	54312419968	0	0.003373	0.002539	0.000233	100	0	0	0	0	0	0.500072	0.003007	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_0PB4PTHT	UNPAIRED	406074403	406074403	1	0	406074403	1	60247433089	368260565	54994686462	54020429423	0	0.005383	0.004482	0.000236	150	0	0	0	0	0	0.499613	0.004445	0	BS_0PB4PTHT		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_0PB4PTHT	UNPAIRED	406074403	406074403	1	0	406074403	1	60247433089	368260565	54994686462	54020429423	0	0.005383	0.004482	0.000236	150	0	0	0	0	0	0.499613	0.004445	0	BS_0PB4PTHT	DNA478855	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_E1SWA20C	UNPAIRED	456521293	456521293	1	0	456521293	1	67860157417	416698280	62268299396	61530054764	0	0.004155	0.003364	0.000239	150	0	0	0	0	0	0.499684	0.004262	0	BS_E1SWA20C		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_E1SWA20C	UNPAIRED	456521293	456521293	1	0	456521293	1	67860157417	416698280	62268299396	61530054764	0	0.004155	0.003364	0.000239	150	0	0	0	0	0	0.499684	0.004262	0	BS_E1SWA20C	DNA478833	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_YR7Q70YP	UNPAIRED	552326738	552326738	1	0	552326738	1	54842524570	489290439	48773732910	48410745556	0	0.003191	0.002371	0.000235	100	0	0	0	0	0	0.500048	0.00311	0	BS_YR7Q70YP		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_YR7Q70YP	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_YR7Q70YP		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_YR7Q70YP	UNPAIRED	552326738	552326738	1	0	552326738	1	54842524570	489290439	48773732910	48410745556	0	0.003191	0.002371	0.000235	100	0	0	0	0	0	0.500048	0.00311	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_584QG6D4	UNPAIRED	359462141	359462141	1	0	359462141	1	53042092539	323530883	48087481519	46866313686	0	0.00601	0.005018	0.000215	150	0	0	0	0	0	0.500172	0.007063	0	BS_584QG6D4		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_584QG6D4	UNPAIRED	359462141	359462141	1	0	359462141	1	53042092539	323530883	48087481519	46866313686	0	0.00601	0.005018	0.000215	150	0	0	0	0	0	0.500172	0.007063	0	BS_584QG6D4	SIDRALIB7316-883B	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_5ESEHG0A	UNPAIRED	614420573	614420573	1	0	614420573	1	61040404818	547828233	54638532290	54198060133	0	0.003264	0.002496	0.000245	100	0	0	0	0	0	0.500115	0.003331	0	BS_5ESEHG0A		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_5ESEHG0A	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_5ESEHG0A		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_5ESEHG0A	UNPAIRED	614420573	614420573	1	0	614420573	1	61040404818	547828233	54638532290	54198060133	0	0.003264	0.002496	0.000245	100	0	0	0	0	0	0.500115	0.003331	0	unknown	unknown	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_26J942GD	UNPAIRED	344747016	344747016	1	0	344747016	1	51178681224	313239264	46782620039	46013295492	0	0.005036	0.004171	0.000232	150	0	0	0	0	0	0.499648	0.003775	0	BS_26J942GD		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_26J942GD	UNPAIRED	344747016	344747016	1	0	344747016	1	51178681224	313239264	46782620039	46013295492	0	0.005036	0.004171	0.000232	150	0	0	0	0	0	0.499648	0.003775	0	BS_26J942GD	DNA478844	
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_BSXYPA4B	UNPAIRED	1304114853	1304114853	1	0	1304114853	1	129542147577	1161756605	115831961500	114695578151	0	0.003792	0.003079	0.00023	100	0	0	0	0	0	0.500113	0.003096	0	BS_BSXYPA4B		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_BSXYPA4B	UNPAIRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BS_BSXYPA4B		
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_BSXYPA4B	UNPAIRED	1304114853	1304114853	1	0	1304114853	1	129542147577	1161756605	115831961500	114695578151	0	0.003792	0.003079	0.00023	100	0	0	0	0	0	0.500113	0.003096	0	unknown	unknown	
