Project	Task	SAMPLE_ALIAS	HET_HOMVAR_RATIO	PCT_GQ0_VARIANTS	TOTAL_GQ0_VARIANTS	TOTAL_HET_DEPTH	TOTAL_SNPS	NUM_IN_DB_SNP	NOVEL_SNPS	FILTERED_SNPS	PCT_DBSNP	DBSNP_TITV	NOVEL_TITV	TOTAL_INDELS	NOVEL_INDELS	FILTERED_INDELS	PCT_DBSNP_INDELS	NUM_IN_DB_SNP_INDELS	DBSNP_INS_DEL_RATIO	NOVEL_INS_DEL_RATIO	TOTAL_MULTIALLELIC_SNPS	NUM_IN_DB_SNP_MULTIALLELIC	TOTAL_COMPLEX_INDELS	NUM_IN_DB_SNP_COMPLEX_INDELS	SNP_REFERENCE_BIAS	NUM_SINGLETONS
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_28M3B3ME	BS_28M3B3ME	1.421238	0.000936	3972	22503479	3428221	3034331	393890	0	0.885104	2.065275	1.822775	741279	128469	0	0.826693	612810	0.854438	0.754346	1044	967	70423	64351	0.536027	2491993
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_1Y2ZF50H	BS_1Y2ZF50H	1.79144	0.001038	4853	30172277	3753000	3345362	407638	0	0.891383	2.069249	1.680383	824496	148234	0	0.820213	676262	0.849793	0.740796	1299	1196	91441	82630	0.533069	3000858
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_RJYJSCFP	BS_RJYJSCFP	1.901499	0.001178	5581	43174306	3690023	3403169	286854	0	0.922262	2.066567	1.554991	879865	156875	0	0.821706	722990	0.830067	0.797294	1391	1288	156768	137772	0.525486	3103777
kfdrc-harmonization/sd-bhjxbdqk-04	alignment-BS_TG78Q6BM	BS_TG78Q6BM	1.818902	0.001016	5127	44902460	4071719	3163756	907963	0	0.777007	2.069778	2.882125	834874	177328	0	0.787599	657546	0.837331	0.820373	1364	1264	130747	114751	0.597168	3255488
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_F0WR427W	BS_F0WR427W	1.881493	0.000844	3858	37518286	3654437	3481990	172447	0	0.952812	2.061238	1.177581	817952	94399	0	0.884591	723553	0.858065	0.746416	1290	1209	88178	82991	0.514671	2983308
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_8DTDM1MK	BS_8DTDM1MK	1.936185	0.000612	2738	82922857	3549839	3399623	150216	0	0.957684	2.065281	1.120048	766380	100544	0	0.868807	665836	0.808295	0.601937	1246	1168	150636	133799	0.51909	2951917
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_APFT88Y3	BS_APFT88Y3	1.914937	0.000582	2601	84977631	3557357	3404678	152679	0	0.957081	2.059224	1.05975	759222	98354	0	0.870454	660868	0.805231	0.586867	1230	1127	143513	127542	0.52012	2936269
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_SAFSHSAC	BS_SAFSHSAC	1.616862	0.000428	1776	27798129	3530583	3365432	165151	0	0.953223	2.066048	0.968239	587649	50940	0	0.913316	536709	0.845103	0.710601	1255	1169	27965	26857	0.513024	2565196
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_YZ3MRCXX	BS_YZ3MRCXX	1.78806	0.00085	3835	38250550	3599002	3449518	149484	0	0.958465	2.060658	1.124378	814137	94973	0	0.883345	719164	0.857091	0.737968	1250	1168	91734	86252	0.514534	2894401
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_00ZND930	BS_00ZND930	1.83592	0.000874	4000	39834699	3617826	3464161	153665	0	0.957526	2.059634	1.125469	838216	104436	0	0.875407	733780	0.851171	0.714623	1315	1214	112176	104547	0.514764	2963195
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZJ3VP0AP	BS_ZJ3VP0AP	1.891637	0.000841	3878	47042583	3638159	3471225	166934	0	0.954116	2.057351	1.075287	840529	105561	0	0.874411	734968	0.847591	0.69068	1377	1277	121580	113446	0.516051	3016164
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ECMB9SWH	BS_ECMB9SWH	2.408017	0.000801	4294	56990954	4282632	4075443	207189	0	0.951621	2.068331	1.148818	928712	129389	0	0.860679	799323	0.85364	0.75507	1989	1861	134260	124269	0.513435	3785807
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_ZDSXV5N1	BS_ZDSXV5N1	2.456273	0.000817	4157	55377761	4152227	3982434	169793	0	0.959108	2.075588	1.360039	841824	121022	0	0.856238	720802	0.818618	0.724599	1773	1691	84278	76795	0.514407	3615091
kfdrc-harmonization/sd-bhjxbdqk-03	alignment-BS_GBQ6A3ST	BS_GBQ6A3ST	1.771842	0.000848	3812	36275634	3595883	3449723	146160	0	0.959354	2.059195	1.129743	805848	89581	0	0.888836	716267	0.864303	0.760564	1161	1069	84850	80012	0.513598	2872820
