Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	FIRST_OF_PAIR	388958308	388958308	1	0	388923194	0.99991	58002293090	361871931	54255185680	52631267994	0	0.005935	0.005162	0.000256	151	379362581	0.975418	0	0.500154	0.00796	0.000041	CG0023-5653		
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	SECOND_OF_PAIR	388958308	388958308	1	0	379397695	0.97542	53428037900	350927226	49963213162	40609240802	1	0.021714	0.021113	0.000231	151	379362581	0.999907	0	0.499299	0.008592	0.000207	CG0023-5653		
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	PAIR	777916616	777916616	1	0	768320889	0.987665	111430330990	712799157	104218398842	93240508796	0	0.013499	0.012807	0.000244	151	758725162	0.987511	0	0.499732	0.008272	0.000124	CG0023-5653		
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	FIRST_OF_PAIR	388958308	388958308	1	0	388923194	0.99991	58002293090	361871931	54255185680	52631267994	0	0.005935	0.005162	0.000256	151	379362581	0.975418	0	0.500154	0.00796	0.000041	CG0023-5653	0210035411_Illumina_P5-Halif_P7-Lajar	
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	SECOND_OF_PAIR	388958308	388958308	1	0	379397695	0.97542	53428037900	350927226	49963213162	40609240802	1	0.021714	0.021113	0.000231	151	379362581	0.999907	0	0.499299	0.008592	0.000207	CG0023-5653	0210035411_Illumina_P5-Halif_P7-Lajar	
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	PAIR	777916616	777916616	1	0	768320889	0.987665	111430330990	712799157	104218398842	93240508796	0	0.013499	0.012807	0.000244	151	758725162	0.987511	0	0.499732	0.008272	0.000124	CG0023-5653	0210035411_Illumina_P5-Halif_P7-Lajar	
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	FIRST_OF_PAIR	386263942	386263942	1	0	386233225	0.99992	57668583581	362454614	54361510548	52853476054	0	0.005226	0.004612	0.000241	151	379618055	0.982873	0	0.500243	0.008604	0.000035	CG0026-4085		
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	SECOND_OF_PAIR	386263942	386263942	1	0	379648772	0.982874	54447822267	354573409	51312183329	44152458336	1	0.016829	0.016289	0.000223	151	379618055	0.999919	0	0.499227	0.009498	0.000113	CG0026-4085		
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	PAIR	772527884	772527884	1	0	765881997	0.991397	112116405848	717028023	105673693877	97005934390	0	0.01086	0.010281	0.000232	151	759236110	0.991323	0	0.499739	0.009047	0.000074	CG0026-4085		
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	FIRST_OF_PAIR	386263942	386263942	1	0	386233225	0.99992	57668583581	362454614	54361510548	52853476054	0	0.005226	0.004612	0.000241	151	379618055	0.982873	0	0.500243	0.008604	0.000035	CG0026-4085	0210035815_Illumina_P5-Xecox_P7-Wojar	
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	SECOND_OF_PAIR	386263942	386263942	1	0	379648772	0.982874	54447822267	354573409	51312183329	44152458336	1	0.016829	0.016289	0.000223	151	379618055	0.999919	0	0.499227	0.009498	0.000113	CG0026-4085	0210035815_Illumina_P5-Xecox_P7-Wojar	
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	PAIR	772527884	772527884	1	0	765881997	0.991397	112116405848	717028023	105673693877	97005934390	0	0.01086	0.010281	0.000232	151	759236110	0.991323	0	0.499739	0.009047	0.000074	CG0026-4085	0210035815_Illumina_P5-Xecox_P7-Wojar	
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0014-0660.cram	FIRST_OF_PAIR	404164161	404164161	1	0	404131561	0.999919	60222073899	377050654	56429295523	53870879919	0	0.007841	0.007201	0.000238	151	396875390	0.982045	0	0.500238	0.007464	0.000026	CG0014-0660		
