Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	FIRST_OF_PAIR	493151140	493151140	1	0	493113121	0.999923	73315085771	462596376	69048192411	67793055129	0	0.004749	0.004042	0.000225	150	491805074	0.997347	13601518	0.027583	0	0.499816	0.029078	0.000004	BS_9H53342K		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	SECOND_OF_PAIR	493151140	493151140	1	0	491843093	0.997348	72134858564	460414067	67967454367	64312992512	0	0.009437	0.008693	0.000217	150	491805074	0.999923	12331490	0.025072	0	0.498971	0.029668	0.000014	BS_9H53342K		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	PAIR	986302280	986302280	1	0	984956214	0.998635	145449944335	923010443	137015646778	132106047641	0	0.007074	0.006349	0.000221	150	983610148	0.998633	25933008	0.026329	0	0.499394	0.029373	0.000009	BS_9H53342K		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	FIRST_OF_PAIR	493151140	493151140	1	0	493113121	0.999923	73315085771	462596376	69048192411	67793055129	0	0.004749	0.004042	0.000225	150	491805074	0.997347	13601518	0.027583	0	0.499816	0.029078	0.000004	BS_9H53342K	GMKFWC.CDH02-0049-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	SECOND_OF_PAIR	493151140	493151140	1	0	491843093	0.997348	72134858564	460414067	67967454367	64312992512	0	0.009437	0.008693	0.000217	150	491805074	0.999923	12331490	0.025072	0	0.498971	0.029668	0.000014	BS_9H53342K	GMKFWC.CDH02-0049-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	PAIR	986302280	986302280	1	0	984956214	0.998635	145449944335	923010443	137015646778	132106047641	0	0.007074	0.006349	0.000221	150	983610148	0.998633	25933008	0.026329	0	0.499394	0.029373	0.000009	BS_9H53342K	GMKFWC.CDH02-0049-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	FIRST_OF_PAIR	450655701	450655701	1	0	450636157	0.999957	67262128821	435498095	65047270628	63959048398	0	0.003841	0.003691	0.000186	150	448952511	0.996264	4159344	0.00923	0	0.499912	0.006157	0.000003	BS_YBXRMN2W		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	SECOND_OF_PAIR	450655701	450655701	1	0	448972055	0.996264	66261998270	433624962	64095754303	60978891853	0	0.008861	0.008662	0.000179	150	448952511	0.999956	2495242	0.005558	0	0.499839	0.006677	0.000012	BS_YBXRMN2W		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	PAIR	901311402	901311402	1	0	899608212	0.99811	133524127091	869123057	129143024931	124937940251	0	0.006332	0.006158	0.000182	150	897905022	0.998107	6654586	0.007397	0	0.499876	0.006417	0.000008	BS_YBXRMN2W		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	FIRST_OF_PAIR	450655701	450655701	1	0	450636157	0.999957	67262128821	435498095	65047270628	63959048398	0	0.003841	0.003691	0.000186	150	448952511	0.996264	4159344	0.00923	0	0.499912	0.006157	0.000003	BS_YBXRMN2W	GMKFWC.CDH02-0051-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	SECOND_OF_PAIR	450655701	450655701	1	0	448972055	0.996264	66261998270	433624962	64095754303	60978891853	0	0.008861	0.008662	0.000179	150	448952511	0.999956	2495242	0.005558	0	0.499839	0.006677	0.000012	BS_YBXRMN2W	GMKFWC.CDH02-0051-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	PAIR	901311402	901311402	1	0	899608212	0.99811	133524127091	869123057	129143024931	124937940251	0	0.006332	0.006158	0.000182	150	897905022	0.998107	6654586	0.007397	0	0.499876	0.006417	0.000008	BS_YBXRMN2W	GMKFWC.CDH02-0051-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X3Y0C7CH	FIRST_OF_PAIR	426311151	426311151	1	0	426285181	0.999939	63306884446	397952660	59348649758	57959978013	0	0.005643	0.004911	0.00025	150	424393643	0.995563	13029753	0.030566	0	0.499946	0.030995	0.000003	BS_X3Y0C7CH		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X3Y0C7CH	SECOND_OF_PAIR	426311150	426311150	1	0	424419612	0.995563	62043855532	395161386	58205272380	54653093268	0	0.011091	0.010311	0.000239	150	424393642	0.999939	11164185	0.026305	0	0.498865	0.031569	0.000016	BS_X3Y0C7CH		
