Project	Task	SAMPLE_ALIAS	HET_HOMVAR_RATIO	PCT_GQ0_VARIANTS	TOTAL_GQ0_VARIANTS	TOTAL_HET_DEPTH	TOTAL_SNPS	NUM_IN_DB_SNP	NOVEL_SNPS	FILTERED_SNPS	PCT_DBSNP	DBSNP_TITV	NOVEL_TITV	TOTAL_INDELS	NOVEL_INDELS	FILTERED_INDELS	PCT_DBSNP_INDELS	NUM_IN_DB_SNP_INDELS	DBSNP_INS_DEL_RATIO	NOVEL_INS_DEL_RATIO	TOTAL_MULTIALLELIC_SNPS	NUM_IN_DB_SNP_MULTIALLELIC	TOTAL_COMPLEX_INDELS	NUM_IN_DB_SNP_COMPLEX_INDELS	SNP_REFERENCE_BIAS	NUM_SINGLETONS
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	BS_9H53342K	1.81985	0.000814	3991	98057601	3972474	3635606	336868	0	0.915199	2.04459	1.063801	835639	94138	0	0.887346	741501	0.954188	1.036165	1945	1423	84052	78577	0.535666	3164759
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	BS_YBXRMN2W	2.366318	0.000839	4439	113679208	4273690	4036847	236843	0	0.944581	2.056349	1.209171	900023	104068	0	0.884372	795955	0.949093	1.074142	1949	1768	101832	95696	0.519445	3717588
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X3Y0C7CH	BS_X3Y0C7CH	2.298913	0.000859	4604	117931110	4355769	3962892	392877	0	0.909803	2.060283	1.157444	884815	123450	0	0.860479	761365	0.942055	1.003993	2619	2020	105147	97752	0.530156	3735102
kfdrc-harmonization/sd-46sk55a3	alignment-BS_4RX5HYN1	BS_4RX5HYN1	1.756013	0.000878	4113	93215860	3770347	3587635	182712	0	0.95154	2.051115	1.122288	818619	82187	0	0.899603	736432	0.960671	1.117185	1377	1261	84581	79394	0.520411	2984879
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YEDVDP8B	BS_YEDVDP8B	1.757118	0.00089	4299	96035379	3911603	3603238	308365	0	0.921167	2.04685	1.085309	827724	90624	0	0.890514	737100	0.956755	1.046566	1930	1444	81548	76485	0.531972	3079563
kfdrc-harmonization/sd-46sk55a3	alignment-BS_SWHWGQKS	BS_SWHWGQKS	2.284482	0.000911	5059	115225269	4492355	4206314	286041	0	0.936327	2.056719	1.269716	936730	123363	0	0.868305	813367	0.94281	1.046941	2150	1877	111851	104204	0.521425	3863927
kfdrc-harmonization/sd-46sk55a3	alignment-BS_2S2MZCR2	BS_2S2MZCR2	1.758162	0.000959	4336	90893463	3662153	3358041	304112	0	0.916958	2.050186	1.061539	772884	85424	0	0.889474	687460	0.956185	1.041927	1741	1239	75978	71266	0.534907	2882207
kfdrc-harmonization/sd-46sk55a3	alignment-BS_TGR2V851	BS_TGR2V851	1.714352	0.00074	3206	76567546	3486237	3314204	172033	0	0.950654	2.057539	1.192313	761840	75922	0	0.900344	685918	0.955943	1.112465	1317	1174	76175	71738	0.519889	2736850
kfdrc-harmonization/sd-46sk55a3	alignment-BS_C6H52348	BS_C6H52348	1.457908	0.000699	3097	84129643	3566080	3387262	178818	0	0.949856	2.054526	1.252712	779984	79833	0	0.897648	700151	0.959818	1.125649	1422	1244	77342	72633	0.521503	2629484
kfdrc-harmonization/sd-46sk55a3	alignment-BS_B73562Q2	BS_B73562Q2	1.811565	0.000749	3679	102323536	3970576	3636364	334212	0	0.915828	2.044667	1.086856	840651	97611	0	0.883886	743040	0.956857	1.049661	1831	1389	86181	80583	0.536561	3162897
