Project	Task	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9H53342K	2745186691	35.770844	9.947665	36	5	0.049659	0.18795	0.001124	0.027159	0.022995	0.003083	0.291969	0.979348	0.974553	0.97129	0.967624	0.960977	0.936517	0.838661	0.321919	0.031135	0.003317	0.001963	0.001386	0.001037	0.000823	0.975534	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBXRMN2W	2745186691	37.361157	10.185606	38	5	0.025681	0.131707	0.001677	0.027261	0.014913	0.001687	0.202926	0.973338	0.969965	0.967204	0.963937	0.958352	0.942052	0.877562	0.428762	0.056637	0.003744	0.001593	0.001107	0.00079	0.000597	0.970654	15
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X3Y0C7CH	2745186691	34.773414	14.160707	38	5	0.052762	0.088061	0.001967	0.035847	0.015084	0.004105	0.197826	0.919153	0.900466	0.897428	0.894217	0.888947	0.873712	0.813673	0.398504	0.05428	0.004491	0.002269	0.001689	0.001305	0.001073	0.90205	10
kfdrc-harmonization/sd-46sk55a3	alignment-BS_4RX5HYN1	2745186691	38.146158	10.404838	39	5	0.025352	0.108662	0.001394	0.025959	0.017673	0.001398	0.180438	0.972847	0.96964	0.96708	0.964173	0.95947	0.946123	0.891592	0.47177	0.074722	0.005952	0.001935	0.001166	0.000777	0.000572	0.970299	15
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YEDVDP8B	2745186691	36.753703	10.124075	37	5	0.041651	0.106728	0.001538	0.027053	0.019968	0.00371	0.200649	0.978648	0.973774	0.970577	0.967038	0.96109	0.942213	0.865039	0.382183	0.043734	0.00358	0.001911	0.001379	0.001035	0.00082	0.974733	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_SWHWGQKS	2745186691	36.308233	9.933185	37	5	0.028414	0.132063	0.001342	0.031917	0.017296	0.001562	0.212595	0.97491	0.971084	0.968071	0.96449	0.958171	0.937451	0.854732	0.363259	0.038997	0.003007	0.001544	0.001069	0.000769	0.00058	0.971861	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_2S2MZCR2	2745186691	33.844189	13.336093	36	5	0.047033	0.118787	0.001299	0.023512	0.026574	0.004135	0.22134	0.922895	0.9083	0.905282	0.901982	0.896253	0.876028	0.794223	0.328827	0.035532	0.003358	0.001912	0.001399	0.001061	0.000833	0.909568	10
kfdrc-harmonization/sd-46sk55a3	alignment-BS_TGR2V851	2745186691	31.923897	12.794838	35	5	0.025176	0.161359	0.00272	0.0258	0.015953	0.001814	0.232822	0.901903	0.898535	0.895833	0.892414	0.885121	0.854781	0.740898	0.241359	0.018113	0.001797	0.001081	0.000713	0.000471	0.000324	0.899184	10
kfdrc-harmonization/sd-46sk55a3	alignment-BS_C6H52348	2745186691	36.718301	13.846657	39	5	0.024616	0.102591	0.001328	0.026996	0.013656	0.001979	0.171166	0.914689	0.911757	0.909484	0.906891	0.902769	0.892347	0.851616	0.494731	0.088624	0.005906	0.00176	0.001273	0.00094	0.000735	0.912348	11
kfdrc-harmonization/sd-46sk55a3	alignment-BS_B73562Q2	2745186691	38.561611	10.413669	39	5	0.046556	0.131736	0.001223	0.018766	0.012291	0.003665	0.214238	0.980557	0.975561	0.972303	0.968999	0.964103	0.951353	0.899847	0.485887	0.077021	0.005737	0.002244	0.001576	0.001159	0.000917	0.976584	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_MRBMCBCD	2745186691	35.674165	9.835471	36	5	0.039164	0.123927	0.0015	0.029395	0.018086	0.003134	0.215207	0.978408	0.973377	0.969989	0.966115	0.959036	0.933848	0.836085	0.321929	0.030404	0.002802	0.001589	0.001134	0.000851	0.000663	0.974397	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_A4W609ZE	2745186691	36.607379	10.133757	37	5	0.048146	0.101552	0.001507	0.033059	0.018019	0.003689	0.205973	0.98017	0.975074	0.971647	0.967957	0.961705	0.941159	0.859673	0.371441	0.041456	0.00382	0.002191	0.001589	0.001183	0.000914	0.976133	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_HKC7XPTE	2745186691	32.007717	14.435077	35	5	0.053943	0.069241	0.001667	0.038892	0.021812	0.003809	0.189364	0.893503	0.873	0.869772	0.866366	0.860214	0.837451	0.748331	0.286009	0.027569	0.003112	0.001937	0.001411	0.001063	0.00083	0.874717	9
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETAKQQM8	2745186691	36.448031	10.127518	37	5	0.051526	0.122057	0.001539	0.029811	0.015606	0.00385	0.224389	0.980307	0.975245	0.971835	0.968161	0.961917	0.940798	0.85596	0.360517	0.039383	0.00378	0.002177	0.00157	0.001197	0.000978	0.976272	16
kfdrc-harmonization/sd-46sk55a3	alignment-BS_CN8SBP5R	2745186691	35.647488	9.85186	36	5	0.029308	0.122639	0.001838	0.030496	0.017667	0.001247	0.203194	0.974744	0.970928	0.967898	0.964242	0.957311	0.932406	0.835902	0.324878	0.030985	0.002891	0.001673	0.001166	0.000835	0.000626	0.971729	15
