Project	Task	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5653.cram	2745186691	29.424078	8.806362	30	4	0.056019	0.04678	0.009664	0.092228	0.029292	0.004877	0.23886	0.980525	0.974295	0.970066	0.96316	0.932108	0.800671	0.5208	0.065025	0.004191	0.00212	0.001487	0.001067	0.000792	0.000615	0.975385	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0026-4085.cram	2745186691	29.994868	8.867773	30	4	0.052971	0.043501	0.00657	0.0723	0.035131	0.004297	0.214771	0.980353	0.9744	0.9703	0.964079	0.938088	0.822917	0.558106	0.07821	0.004774	0.002172	0.001492	0.001054	0.00078	0.00061	0.975485	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0014-0660.cram	2745186691	31.097664	9.238129	32	4	0.053922	0.026275	0.007238	0.106755	0.029962	0.004435	0.228586	0.980923	0.974838	0.970769	0.964967	0.943634	0.850989	0.621369	0.115568	0.007238	0.002292	0.001582	0.001167	0.000915	0.000736	0.975949	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0018-2437.cram	2745186691	29.456388	9.16305	30	5	0.056448	0.055537	0.012273	0.10206	0.020481	0.004889	0.251689	0.980836	0.974367	0.969686	0.960516	0.920752	0.783299	0.521115	0.079193	0.004776	0.001866	0.001373	0.001055	0.00084	0.000678	0.975442	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0013-7279.cram	2745186691	32.082671	9.317045	33	4	0.053661	0.069528	0.005904	0.069116	0.023178	0.004411	0.225799	0.981536	0.97532	0.971249	0.966054	0.950458	0.880156	0.679591	0.146172	0.008973	0.002422	0.001709	0.001274	0.001003	0.000802	0.976494	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0018-3225.cram	2745186691	30.687338	8.944249	31	4	0.051008	0.045432	0.005445	0.067433	0.029333	0.004196	0.202846	0.980614	0.974732	0.970666	0.964825	0.943137	0.845389	0.602182	0.097991	0.005436	0.001919	0.001276	0.000916	0.000723	0.000594	0.975809	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0018-2535.cram	2745186691	27.996449	8.458108	28	4	0.055102	0.0494	0.010932	0.080197	0.022059	0.004965	0.222656	0.980889	0.97447	0.969709	0.960221	0.911906	0.735018	0.426226	0.040084	0.002964	0.00166	0.001134	0.000824	0.000638	0.000519	0.975519	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0014-0471.cram	2745186691	29.72591	8.918599	30	4	0.055859	0.052695	0.004856	0.09214	0.051413	0.004421	0.261382	0.979793	0.973866	0.969706	0.963037	0.934144	0.811083	0.54102	0.073275	0.004427	0.002041	0.001457	0.001107	0.000873	0.000684	0.974976	16
yuankun/kf-alignment-rerun	Seidman-2016-CHD: file: CG0023-5294.cram	2745186691	34.522576	10.350508	35	5	0.056862	0.03367	0.007556	0.073059	0.042644	0.004793	0.218585	0.980638	0.974738	0.971023	0.966499	0.953531	0.903735	0.767034	0.276442	0.029252	0.003429	0.00213	0.00161	0.001247	0.000996	0.975876	16
yuankun/kf-alignment-rerun	Marazita-2015-OFC: file: f704bbabbe5d4bd7a783f2753cd1444e.bam	2745186691	27.741979	8.433891	28	4	0.050015	0.17959	0.000662	0.017173	0.01641	0.003588	0.267438	0.979852	0.974238	0.969923	0.96116	0.91195	0.723451	0.403781	0.036002	0.003195	0.001813	0.001279	0.000958	0.000719	0.000557	0.975127	16
