uuid,legacy_aliquot,sample_id,experimental_strategy,platform,library_id,paired_end,quality_scale,platform_unit_id,s3_path,read_length,insert_size,sequencing_coverage,sequencing_center
ed890e56-a048-4314-9b17-90d31899429e,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AUAAAPEI-36,1,illumina15,FCC1MNNACXX_L7,s3://cbttc.seq.data/data_12_pairs/7316-177B/130206_I1089_FCC1MNNACXX_L7_ARCGHMM026AUAAAPEI-36/130206_I1089_FCC1MNNACXX_L7_ARCGHMM026AUAAAPEI-36_1.fq.gz,100,500,60X,BGI@CHOP
c5dd45e8-7d66-422c-b73b-4bbed550c026,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AUAAAPEI-36,2,illumina15,FCC1MNNACXX_L7,s3://cbttc.seq.data/data_12_pairs/7316-177B/130206_I1089_FCC1MNNACXX_L7_ARCGHMM026AUAAAPEI-36/130206_I1089_FCC1MNNACXX_L7_ARCGHMM026AUAAAPEI-36_2.fq.gz,100,500,60X,BGI@CHOP
add9b428-5497-4e4d-87a6-b293118556a0,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AVAAAPEI-37,1,illumina15,FCC1MNNACXX_L8,s3://cbttc.seq.data/data_12_pairs/7316-177B/130206_I1089_FCC1MNNACXX_L8_ARCGHMM026AVAAAPEI-37/130206_I1089_FCC1MNNACXX_L8_ARCGHMM026AVAAAPEI-37_1.fq.gz,100,500,60X,BGI@CHOP
461d5b4a-0548-44dc-a7f0-b8bc13371664,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AVAAAPEI-37,2,illumina15,FCC1MNNACXX_L8,s3://cbttc.seq.data/data_12_pairs/7316-177B/130206_I1089_FCC1MNNACXX_L8_ARCGHMM026AVAAAPEI-37/130206_I1089_FCC1MNNACXX_L8_ARCGHMM026AVAAAPEI-37_2.fq.gz,100,500,60X,BGI@CHOP
89832bb1-3d7b-4f91-b020-cb1261902bb5,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AUAAAPEI-36,1,illumina15,FCC1MJDACXX_L7,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCC1MJDACXX_L7_ARCGHMM026AUAAAPEI-36_1.fq.gz,100,500,60X,BGI@CHOP
633e7f3f-f4a6-44b8-83c9-7cc79cc04023,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AUAAAPEI-36,2,illumina15,FCC1MJDACXX_L7,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCC1MJDACXX_L7_ARCGHMM026AUAAAPEI-36_2.fq.gz,100,500,60X,BGI@CHOP
b37800fe-fc8c-4ba5-af99-091df22f8be4,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AVAAAPEI-37,1,illumina15,FCC1MJDACXX_L8,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCC1MJDACXX_L8_ARCGHMM026AVAAAPEI-37/130207_I1074_FCC1MJDACXX_L8_ARCGHMM026AVAAAPEI-37_1.fq.gz,100,500,60X,BGI@CHOP
93ea6230-3cd9-4727-bd7c-7819c591d842,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AVAAAPEI-37,2,illumina15,FCC1MJDACXX_L8,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCC1MJDACXX_L8_ARCGHMM026AVAAAPEI-37/130207_I1074_FCC1MJDACXX_L8_ARCGHMM026AVAAAPEI-37_2.fq.gz,100,500,60X,BGI@CHOP
74888fc3-b688-40d8-a9f7-66cee7f12116,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AUAAAPEI-36,1,illumina15,FCD1RCBACXX_L7,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCD1RCBACXX_L7_ARCGHMM026AUAAAPEI-36/130207_I1074_FCD1RCBACXX_L7_ARCGHMM026AUAAAPEI-36_1.fq.gz,100,500,60X,BGI@CHOP
6db2ddd8-57de-4ba0-9069-a3d515301dd3,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AUAAAPEI-36,2,illumina15,FCD1RCBACXX_L7,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCD1RCBACXX_L7_ARCGHMM026AUAAAPEI-36/130207_I1074_FCD1RCBACXX_L7_ARCGHMM026AUAAAPEI-36_2.fq.gz,100,500,60X,BGI@CHOP
811e75a5-6215-4564-922c-beb0dd4a6d3b,NULL,7316-177-N,WGS,Illumina HiSeq,ARCGHMM026AVAAAPEI-37,1,illumina15,FCD1RCBACXX_L8,s3://cbttc.seq.data/data_12_pairs/7316-177B/130207_I1074_FCD1RCBACXX_L8_ARCGHMM026AVAAAPEI-37/130207_I1074_FCD1RCBACXX_L8_ARCGHMM026AVAAAPEI-37_1.fq.gz,100,500,60X,BGI@CHOP
