0016b2d9-52b7-49c9-a034-c01a6071aacb.bam BS_CXN0498B
00764ed2-195f-4f39-a1d7-742e6b2aa522.bam BS_T5T21G7N
008f259f-c6a4-49a1-b404-efe16afb3a8a.bam BS_AKRKRCCH
008f259f-c6a4-49a1-b404-efe16afb3a8a.local.transcript.bam BS_AKRKRCCH
0150cd8e-b7d1-4a67-88fb-654b56078357.bam BS_XKM2EAT4
01999899-8431-40b3-9976-27d8ba17e2e6.bam BS_ZZS1RC7R
01999899-8431-40b3-9976-27d8ba17e2e6.local.transcript.bam BS_ZZS1RC7R
019c8219-31e2-4bcb-8801-d8248f17040b.bam BS_0TY7KS93
019c8219-31e2-4bcb-8801-d8248f17040b.local.transcript.bam BS_0TY7KS93
01e8a3a9-2001-4fe9-bc46-134d071bcf26.bam BS_KY1CTGJ3
02e8e381-017d-404b-b656-a5b0bac20f7f.bam BS_WQ19Z6MD
031f95c6-411e-4957-9e4d-d0c0734ab994.bam BS_C4EE3YTS
031f95c6-411e-4957-9e4d-d0c0734ab994.local.transcript.bam BS_C4EE3YTS
03219313-c5f8-4722-9d02-8c85920a83c7.bam BS_18HKA9WR
03219313-c5f8-4722-9d02-8c85920a83c7.local.transcript.bam BS_18HKA9WR
034d3a25-46f1-4862-b264-c0ef325fd9b7.bam BS_C2NH5FDT
038a56f8-76c3-4606-ae46-31e7829d390b.bam BS_5DHZ0T1A
0505568d-4f63-4807-ba8d-d0daf235e2a7.bam BS_1617MMF8
069f871a-43cc-40f5-8577-eea68e003f26.bam BS_G9MQM1KK
070efccd-8fe8-4cb8-913f-4e9d9f1021d3.bam BS_XTMR0BS7
070efccd-8fe8-4cb8-913f-4e9d9f1021d3.local.transcript.bam BS_XTMR0BS7
08392be7-15b2-4445-9cae-8686a5e093b5.bam BS_H8E4K1DT
0a1e7cec-3cd4-46ba-98aa-408992ca25aa.bam BS_6ZP2KRPW
0c57344b-6750-4aac-83c9-7c1c9085a201.bam BS_TNQKJZCP
0d6f104d-20af-4c50-b778-07481e945ca1.bam BS_Q6TCMJQE
0d6f104d-20af-4c50-b778-07481e945ca1.local.transcript.bam BS_Q6TCMJQE
0ea72a26-85ba-45ad-855f-bbe0833791db.bam BS_QQP17PDQ
1074156d-0843-4c86-ba1e-2ecbf6a491a2.bam BS_W7C40QS9
1074156d-0843-4c86-ba1e-2ecbf6a491a2.local.transcript.bam BS_W7C40QS9
108ee34e-a35d-4d2a-935e-5d03d45a7a2c.bam BS_84T0W6SE
108ee34e-a35d-4d2a-935e-5d03d45a7a2c.local.transcript.bam BS_84T0W6SE
11bd481c-4cd1-4b2a-9e13-1b4aba7cd4d2.bam BS_B5G7VWMP
11bd481c-4cd1-4b2a-9e13-1b4aba7cd4d2.local.transcript.bam BS_B5G7VWMP
